(c) Die Bundeswahlleiterin, Wiesbaden 2025;;;;;;;;;;;;;;;;
Datenlizenz Deutschland – Namensnennung – Version 2.0 (https://www.govdata.de/dl-de/by-2-0);;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Ergebnisse nach Wahlkreisen;;;;;;;;;;;;;;;;
Status:;Endgültig;;;;;;;;;;;;;;;
Stand:;14.03.2025;10:50;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Format: CSV. Trennzeichen: Semikolon. Zeichensatz: UTF-8 mit BOM;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Wahlart;Wahltag;Gebietsart;Gebietsnummer;Gebietsname;UegGebietsart;UegGebietsnummer;Gruppenart;Gruppenname;Gruppenreihenfolge;Stimme;Anzahl;Prozent;VorpAnzahl;VorpProzent;DiffProzent;DiffProzentPkt;Bemerkung;Gewählt
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;Verjüngungsforschung;17;1;;;2171;0,004697;;-0,004697;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;Verjüngungsforschung;17;2;303;0,00061;48496;0,104747;-99,375206;-0,104136;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;PdH;18;1;1871;0,003779;12672;0,027417;-85,235164;-0,023638;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;PdH;18;2;14294;0,02879;47524;0,102647;-69,922565;-0,073857;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;Bündnis C;19;1;2021;0,004082;6222;0,013462;-67,518483;-0,00938;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;Bündnis C;19;2;11768;0,023702;39868;0,086111;-70,482593;-0,062409;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;BP;20;1;5763;0,011641;36748;0,079509;-84,317514;-0,067868;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;BP;20;2;12278;0,024729;32790;0,070823;-62,555657;-0,046094;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;MLPD;21;1;24218;0,04892;22535;0,048757;7,468383;0,000163;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;MLPD;21;2;19551;0,039378;17820;0,038489;9,713805;0,000889;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;MENSCHLICHE WELT;22;1;;;652;0,001411;;-0,001411;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;MENSCHLICHE WELT;22;2;694;0,001398;3786;0,008177;-81,669308;-0,00678;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;PdF;23;1;1282;0,00259;;;;;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;PdF;23;2;21388;0,043078;3228;0,006972;562,577447;0,036106;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;SGP;24;1;73;0,000147;;;;;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;SGP;24;2;425;0,000856;1399;0,003022;-69,621158;-0,002166;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;BüSo;25;1;1295;0,002616;811;0,001755;59,679408;0,000861;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;BüSo;25;2;676;0,001362;665;0,001436;1,654135;-0,000075;;
